Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Data Sent (KB),4.45,3.93,4.80,222.51,3.96,4.09,4.21,4.32,4.48,4.57,4.66,4.74,4.79,0.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),186478.01,79509.12,242667.00,9323900.54,81662.77,89224.65,159384.54,167817.99,177619.42,219557.56,228272.77,233600.57,239969.93,39369.79
HTTP Receiving (ms),75740.16,52677.18,83991.79,3787008.24,55904.48,66315.13,70324.94,75300.19,76832.87,78153.53,80050.74,82166.06,83643.45,5334.96
HTTP Sending (ms),0.81,0.35,1.92,40.70,0.37,0.43,0.45,0.51,0.67,0.78,1.82,1.86,1.89,0.46
HTTP Total Time (ms),186478.64,79510.25,242668.48,9323931.89,81663.98,89225.92,159385.15,167818.46,177619.89,219558.03,228273.21,233601.50,239970.94,39369.63
HTTP Waiting (TTFB) (ms),110737.03,7264.42,166351.33,5536851.60,7264.93,7266.39,85844.12,91748.55,100809.41,143872.86,151036.94,154930.04,163000.12,39935.77
Input Sequence Length (tokens),1000.00,1000.00,1000.00,50000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.00
Inter Chunk Latency (ms),76.93,0.00,2424.78,3786187.22,0.00,0.00,0.00,0.00,0.03,169.80,171.97,173.33,306.84,114.67
Inter Token Latency (ms),75.82,52.73,84.08,3791.06,55.96,66.38,70.46,75.47,76.95,78.23,80.14,81.95,83.73,5.33
OSL Mismatch Diff % (%),-0.03,-0.50,0.00,-1.40,-0.35,-0.15,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.08
Output Sequence Length (tokens),999.72,995.00,1000.00,49986.00,996.47,998.45,999.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.83
Output Token Count (tokens),999.72,995.00,1000.00,49986.00,996.47,998.45,999.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.83
Output Token Throughput Per User (tokens/sec/user),13.27,11.89,18.96,663.44,11.94,12.20,12.48,12.78,13.00,13.25,14.19,15.07,17.93,1.15
Prefill Throughput Per User (tokens/sec/user),19.09,6.01,137.62,954.63,6.14,6.45,6.62,6.95,9.92,10.90,11.65,137.58,137.62,35.00
Request Latency (ms),186461.69,79509.10,242667.17,9323084.30,81662.84,89224.46,159384.51,167817.97,177523.10,219557.53,228272.82,233600.68,239970.06,39373.30
Time to First Output Token (ms),110737.94,7266.26,166353.38,5536897.08,7266.56,7268.25,85846.24,91749.35,100810.14,143873.41,151037.85,154930.66,163002.18,39935.53
Time to First Token (ms),110737.94,7266.26,166353.38,5536897.08,7266.56,7268.25,85846.24,91749.35,100810.14,143873.41,151037.85,154930.66,163002.18,39935.53
Time to Second Token (ms),247.48,166.39,1245.88,12373.86,167.59,170.78,175.24,177.15,180.55,182.91,185.58,862.46,1243.12,252.67
Tokens In Flight (tokens),11151.54,0.00,13886.41,,,,,,11715.68,,13103.12,13356.73,13621.52,2345.19

Metric,Value
Benchmark Duration (sec),1007.32
Input Token Throughput (tokens/sec),49.64
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),49.62
Request Count,50.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),50000.00
Total Output Sequence Length (tokens),49986.00
Total Output Tokens (tokens),49986.00
Total Token Throughput (tokens/sec),99.26


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
