Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Duration (excl. conn) (ms),27370.56,20351.02,32083.61,136852.78,20539.31,21292.47,22233.91,25058.24,29132.81,30227.10,31341.00,31712.30,32009.34,4197.59
HTTP Receiving (ms),24539.95,17330.95,29097.52,122699.76,17519.23,18272.36,19213.77,22038.01,26146.61,28086.67,28693.18,28895.35,29057.09,4339.62
HTTP Sending (ms),1.61,1.26,2.06,8.04,1.26,1.27,1.28,1.30,1.39,2.03,2.05,2.05,2.06,0.36
HTTP Total Time (ms),27371.83,20352.62,32084.63,136859.13,20540.90,21294.06,22235.50,25059.83,29133.95,30228.10,31342.02,31713.33,32010.37,4197.35
HTTP Waiting (TTFB) (ms),2829.00,2139.16,3018.20,14144.98,2172.99,2308.29,2477.41,2984.79,2984.80,3018.02,3018.13,3018.17,3018.20,345.24
Image Latency (ms/image),27370.74,20351.25,32083.76,136853.68,20539.53,21292.69,22234.13,25058.46,29132.97,30227.25,31341.16,31712.46,32009.50,4197.56
Image Throughput (images/sec),0.04,0.03,0.05,0.19,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.01
Input Sequence Length (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Inter Chunk Latency (ms),162.52,120.39,1045.40,122699.72,124.01,143.59,145.97,156.97,165.79,167.24,168.20,168.57,169.69,33.64
Inter Token Latency (ms),49.18,34.73,58.31,245.89,35.11,36.62,38.50,44.16,52.40,56.29,57.50,57.91,58.23,8.70
Number of Images (images),1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Output Token Throughput Per User (tokens/sec/user),21.09,17.15,28.79,105.44,17.17,17.27,17.40,17.77,19.08,22.64,26.33,27.56,28.55,4.30
Prefill Throughput Per User (tokens/sec/user),179.91,165.54,233.58,899.53,165.54,165.54,165.54,165.55,167.43,167.43,207.12,220.35,230.94,26.85
Reasoning Token Count (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Request Latency (ms),27370.74,20351.25,32083.76,136853.68,20539.53,21292.69,22234.13,25058.46,29132.97,30227.25,31341.16,31712.46,32009.50,4197.56
Time to First Token (ms),2830.79,2140.58,3020.46,14153.96,2174.41,2309.71,2478.84,2986.24,2986.37,3020.31,3020.40,3020.43,3020.46,345.44
Time to Second Token (ms),354.95,165.09,1045.40,1774.76,165.10,165.13,165.16,165.25,199.18,199.83,707.18,876.29,1011.58,345.57
Tokens In Flight (tokens),3054.78,0.00,4297.42,,,,,,3125.45,,3952.72,4125.07,4262.95,752.88

Metric,Value
Benchmark Duration (sec),32.08
Input Token Throughput (tokens/sec),77.91
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),77.91
Request Count,5.00
Request Throughput (requests/sec),0.16
Total Input Sequence Length (tokens),2500.00
Total Output Sequence Length (tokens),2500.00
Total Reasoning Tokens (tokens),2500.00
Total Token Throughput (tokens/sec),155.82


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
